subjID	sex	age	condition	taskOrder	firstTower	earlyTower	targetCause	scaleOrientation	rating	respTime	targetCauseRec	title
142		59	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-L	0.5	75293	Early Tower	Human Judgments
265	female	23	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-L	0.4	44481	Early Tower	Human Judgments
440	male	44	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-L	0.8	64142	Early Tower	Human Judgments
75	male	42	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-R	0.2	66309	Early Tower	Human Judgments
207	male	20	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-R	0.8	7932	Early Tower	Human Judgments
321	female	34	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-North	HC-R	0.5	61014	Early Tower	Human Judgments
135	female	24	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-L	0.5	5019	Late Tower	Human Judgments
180	female	19	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-L	0.7	53423	Late Tower	Human Judgments
291	female	33	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-L	0.3	48054	Late Tower	Human Judgments
76	female	40	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-R	1	31556	Late Tower	Human Judgments
277	male	18	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-R	1	25568	Late Tower	Human Judgments
294	female	29	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-North	Q-South	HC-R	0.7	57849	Late Tower	Human Judgments
46	female	25	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-L	0.2	29136	Late Tower	Human Judgments
272	female	46	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-L	0.8	15015	Late Tower	Human Judgments
317	female	24	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-L	0.6	20108	Late Tower	Human Judgments
51	male	41	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-R	0.2	17805	Late Tower	Human Judgments
194	female	32	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-R	0.2	14785	Late Tower	Human Judgments
303	male	33	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-North	HC-R	0.5	3917	Late Tower	Human Judgments
74	female	33	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-L	0.9	24616	Early Tower	Human Judgments
278	female	19	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-L	0.8	18092	Early Tower	Human Judgments
332	male	46	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-L	0	49083	Early Tower	Human Judgments
22	male	30	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-R	0.6	27699	Early Tower	Human Judgments
209	male	23	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-R	0.9	19565	Early Tower	Human Judgments
372	male	20	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-R	0.5	36650	Early Tower	Human Judgments
140	female	34	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-L	0.6	32355	Early Tower	Human Judgments
178	male	38	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-L	0	35403	Early Tower	Human Judgments
276	male	25	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-L	0.9	17013	Early Tower	Human Judgments
105	female	27	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-R	0.5	16075	Early Tower	Human Judgments
167	male	27	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-R	0.1	21850	Early Tower	Human Judgments
403	female	72	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-North	HC-R	0.8	52290	Early Tower	Human Judgments
29	male	21	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-L	0.2	44844	Late Tower	Human Judgments
185	male	34	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-L	1	52724	Late Tower	Human Judgments
416	female	30	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-L	0.5	27444	Late Tower	Human Judgments
25	female	53	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-R	0	21495	Late Tower	Human Judgments
163	male	59	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-R	0	15580	Late Tower	Human Judgments
