subjID	condition	taskOrder	firstTower	earlyTower	targetCause	scaleOrientation	sex	age	InstructionCheck_Attempts	totalTime	timeFinished
1	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-North	HC-R	male	34	1	450100	04.07.2018 15:37
3	Ons-diff_Delay-same	DurFirst	FT-North	ET-North	Q-North	HC-L	female	28	1	387335	04.07.2018 15:50
2	Ons-diff_Delay-diff_B	OnsetFirst	FT-North	ET-South	Q-South	HC-R	male	21	1	564049	04.07.2018 15:52
4	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-North	HC-L	male	34	1	385794	04.07.2018 15:56
5	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-South	Q-South	HC-R	female	39	1	650966	04.07.2018 16:01
6	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-North	HC-R	male	35	1	459437	04.07.2018 16:29
7	Ons-diff_Delay-same	DurFirst	FT-South	ET-South	Q-South	HC-R	male	30	1	330834	04.07.2018 16:29
8	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-South	Q-North	HC-L	female	24	1	339004	04.07.2018 16:29
9	Ons-diff_Delay-same	DurFirst	FT-North	ET-South	Q-South	HC-L	female	31	1	335280	04.07.2018 16:30
14	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-South	Q-South	HC-R	female	40	1	383368	04.07.2018 16:41
12	Ons-same_Delay-diff	OnsetFirst	FT-South	ET-South	Q-South	HC-L	male	38	1	470122	04.07.2018 16:41
13	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-South	HC-L	female	32	1	492234	04.07.2018 16:42
11	Ons-diff_Delay-diff_B	DurFirst	FT-South	ET-North	Q-South	HC-L	male	18	1	650852	04.07.2018 16:43
10	Ons-diff_Delay-same	OnsetFirst	FT-North	ET-South	Q-North	HC-R	female	41	2	1033857	04.07.2018 16:43
16	Ons-same_Delay-diff	DurFirst	FT-South	ET-North	Q-South	HC-L	male	36	1	469542	04.07.2018 16:43
17	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-South	HC-R	male	41	1	428961	04.07.2018 16:43
19	Ons-diff_Delay-same	DurFirst	FT-South	ET-North	Q-South	HC-L	female	20	1	482531	04.07.2018 16:45
18	Ons-same_Delay-diff	OnsetFirst	FT-North	ET-South	Q-South	HC-L	male	48	1	538053	04.07.2018 16:45
20	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-South	Q-South	HC-L	female	33	1	556961	04.07.2018 16:46
21	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-South	HC-L	female	33	1	496666	04.07.2018 16:48
22	Ons-diff_Delay-diff_A	DurFirst	FT-North	ET-South	Q-South	HC-R	male	30	1	373980	04.07.2018 16:49
23	Ons-diff_Delay-diff_A	OnsetFirst	FT-North	ET-North	Q-North	HC-R	female	65	1	391945	04.07.2018 16:52
24	Ons-diff_Delay-diff_B	DurFirst	FT-North	ET-North	Q-North	HC-R	male	19	1	389366	04.07.2018 16:53
25	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-R	female	53	1	391165	04.07.2018 16:53
28	Ons-same_Delay-diff	DurFirst	FT-North	ET-North	Q-South	HC-R	male	23	1	304849	04.07.2018 16:53
27	Ons-diff_Delay-diff_B	OnsetFirst	FT-South	ET-North	Q-South	HC-L	male	23	2	501837	04.07.2018 16:56
26	Ons-same_Delay-diff	DurFirst	FT-North	ET-South	Q-South	HC-R	male	25	2	572448	04.07.2018 16:57
29	Ons-diff_Delay-diff_A	DurFirst	FT-South	ET-North	Q-South	HC-L	male	21	2	582012	04.07.2018 17:00
