subjID	cond1	cond2	cond3	cond4	sex	age	itRounds	totalTime	time_finished
1	FT-North	S-F_1	Q-North	HC-L	female	19	1	345909	2017-11-03 18:12:46
2	FT-North	S-F_2	Q-North	HC-R	female	43	1	729454	2017-11-03 18:20:29
3	FT-North	F-S_2	Q-South	HC-R	female	32	1	660304	2017-11-03 18:21:55
5	FT-South	F-S_1	Q-South	HC-L	male	21	2	467406	2017-11-03 18:22:21
6	FT-North	F-S_2	Q-North	HC-R	female	27	1	476375	2017-11-03 18:30:25
7	FT-South	Control	Q-South	HC-R	female	23	1	290006	2017-11-03 18:35:41
8	FT-South	F-S_1	Q-North	HC-R	male	24	1	324819	2017-11-03 18:37:07
9	FT-South	F-S_1	Q-South	HC-R	female	30	1	657351	2017-11-03 18:43:01
10	FT-North	Control	Q-North	HC-L	male	30	1	381207	2017-11-03 18:48:16
11	FT-North	S-F_1	Q-North	HC-R	female	37	1	380065	2017-11-03 18:49:15
12	FT-North	Control	Q-South	HC-R	male	29	1	383731	2017-11-03 18:51:58
14	FT-North	F-S_1	Q-South	HC-R	female	21	1	335622	2017-11-03 18:52:34
13	FT-North	F-S_2	Q-North	HC-L	male	22	1	474284	2017-11-03 18:53:50
15	FT-South	F-S_2	Q-North	HC-R	female	21	1	344069	2017-11-03 19:00:38
22	FT-North	S-F_2	Q-South	HC-R	female	25	1	329937	2017-11-03 19:12:13
23	FT-South	S-F_2	Q-North	HC-L	female	20	1	361396	2017-11-03 19:15:56
19	FT-South	Control	Q-North	HC-R	female	20	1	1016749	2017-11-03 19:17:48
24	FT-South	F-S_1	Q-North	HC-L	male	20	1	260384	2017-11-03 19:21:28
31	FT-North	F-S_2	Q-South	HC-L	female	23	1	320828	2017-11-03 19:27:23
26	FT-South	F-S_2	Q-South	HC-L	female	22	1	673100	2017-11-03 19:31:19
33	FT-South	Control	Q-North	HC-L	female	23	1	368225	2017-11-03 19:31:24
34	FT-North	F-S_1	Q-North	HC-R	female	20	4	714813	2017-11-03 19:40:47
37	FT-South	S-F_1	Q-North	HC-R	male	28	1	358504	2017-11-03 19:42:10
38	FT-South	S-F_1	Q-North	HC-L	female	24	1	375978	2017-11-03 19:44:23
44	FT-North	Control	Q-North	HC-R	male	18	1	307170	2017-11-03 19:47:50
45	FT-North	Control	Q-South	HC-L	male	22	1	459629	2017-11-03 19:52:46
47	FT-South	S-F_2	Q-North	HC-R	male	45	4	629379	2017-11-03 19:56:15
50	FT-South	S-F_1	Q-South	HC-R	female	39	1	443464	2017-11-03 19:58:21
46	FT-North	S-F_1	Q-South	HC-L	female	22	1	792333	2017-11-03 19:58:51
51	FT-South	Control	Q-South	HC-L	female	21	1	302340	2017-11-03 20:00:04
49	FT-South	S-F_2	Q-South	HC-R	female	37	1	704574	2017-11-03 20:01:10
48	FT-South	F-S_2	Q-South	HC-R	male	25	1	917261	2017-11-03 20:02:14
54	FT-South	S-F_1	Q-South	HC-L	male	28	1	318252	2017-11-03 20:05:49
57	FT-South	F-S_2	Q-North	HC-L	female	29	1	241905	2017-11-03 20:08:14
56	FT-North	F-S_1	Q-North	HC-L	male	25	3	602292	2017-11-03 20:13:52
58	FT-North	S-F_2	Q-North	HC-L	female	36	2	753528	2017-11-03 20:17:01
62	FT-North	S-F_2	Q-South	HC-L	female	47	1	541180	2017-11-03 20:18:14
68	FT-North	S-F_1	Q-North	HC-L	female	49	1	408928	2017-11-03 20:21:16
70	FT-North	S-F_1	Q-South	HC-R	male	19	1	372201	2017-11-03 20:21:45
67	FT-South	S-F_2	Q-South	HC-R	female	21	1	510272	2017-11-03 20:22:05
72	FT-North	F-S_1	Q-South	HC-R	female	19	1	299711	2017-11-03 20:22:50
69	FT-North	Control	Q-North	HC-L	female	22	1	508591	2017-11-03 20:23:14
65	FT-North	S-F_2	Q-South	HC-R	female	28	1	612695	2017-11-03 20:23:32
73	FT-North	F-S_2	Q-North	HC-L	female	25	1	359281	2017-11-03 20:24:43
74	FT-South	Control	Q-North	HC-L	female	28	1	352292	2017-11-03 20:25:31
71	FT-South	S-F_2	Q-South	HC-L	female	25	3	638306	2017-11-03 20:27:17
75	FT-North	F-S_1	Q-South	HC-L	female	33	1	380016	2017-11-03 20:28:21
76	FT-North	F-S_2	Q-South	HC-R	female	52	1	495944	2017-11-03 20:31:14
81	FT-South	S-F_1	Q-North	HC-R	female	48	1	296410	2017-11-03 20:36:03
80	FT-North	S-F_1	Q-South	HC-R	female	18	1	546839	2017-11-03 20:37:50
83	FT-North	S-F_1	Q-North	HC-R	female	26	1	384319	2017-11-03 20:43:23
85	FT-South	F-S_1	Q-North	HC-R	female	27	1	506583	2017-11-03 20:56:27
88	FT-North	F-S_2	Q-South	HC-L	male	58	1	401887	2017-11-03 20:57:06
86	FT-South	F-S_1	Q-South	HC-R	female	33	1	466502	2017-11-03 20:57:23
89	FT-North	S-F_2	Q-North	HC-L		0	1	408245	2017-11-03 20:59:33
93	FT-South	S-F_2	Q-North	HC-R	male	20	1	307607	2017-11-03 21:03:23
94	FT-South	S-F_1	Q-South	HC-R	female	29	1	306461	2017-11-03 21:07:33
97	FT-South	S-F_1	Q-North	HC-L	male	22	1	239754	2017-11-03 21:07:43
96	FT-North	F-S_1	Q-South	HC-L	female	28	1	439048	2017-11-03 21:10:24
