subjID	instrtest	FirstTower	GammaDiff	Target	ScaleOrientation	sID	sIndex	Alpha	Power	Rating	RespTime	PowerRec	TowerQuery	AlphaRec	TowerLatency
1	valid	FT-South	S-F_1	Q-South	HC-L	1	1	0.99	0.5	6	35431	Causal Power = 0.50	North	Alpha = .99	low
1	valid	FT-South	S-F_1	Q-South	HC-L	2	2	0.99	0.5	4	5737	Causal Power = 0.50	South	Alpha = .99	high
2	valid	FT-South	F-S_1	Q-North	HC-L	1	1	0.99	0.5	5	21607	Causal Power = 0.50	North	Alpha = .99	high
2	valid	FT-South	F-S_1	Q-North	HC-L	2	2	0.99	0.5	5	8668	Causal Power = 0.50	South	Alpha = .99	low
3	valid	FT-North	F-S_1	Q-South	HC-R	1	1	0.99	0.5	9	7893	Causal Power = 0.50	North	Alpha = .99	low
3	valid	FT-North	F-S_1	Q-South	HC-R	2	2	0.99	0.5	4	11448	Causal Power = 0.50	South	Alpha = .99	high
4	valid	FT-North	F-S_2	Q-South	HC-L	1	1	0.99	0.83	2	20589	Causal Power = 0.83	North	Alpha = .99	low
4	valid	FT-North	F-S_2	Q-South	HC-L	2	2	0.99	0.83	2	3549	Causal Power = 0.83	South	Alpha = .99	high
5	valid	FT-North	S-F_2	Q-South	HC-L	2	1	0.01	0.83	8	27587	Causal Power = 0.83	South	Alpha = .01	low
5	valid	FT-North	S-F_2	Q-South	HC-L	1	2	0.01	0.83	8	6495	Causal Power = 0.83	North	Alpha = .01	high
7	valid	FT-South	F-S_2	Q-South	HC-R	2	1	0.01	0.83	8	42257	Causal Power = 0.83	South	Alpha = .01	low
7	valid	FT-South	F-S_2	Q-South	HC-R	1	2	0.01	0.83	8	13288	Causal Power = 0.83	North	Alpha = .01	high
8	valid	FT-South	F-S_2	Q-North	HC-L	2	1	0.99	0.83	8	24104	Causal Power = 0.83	South	Alpha = .99	low
8	valid	FT-South	F-S_2	Q-North	HC-L	1	2	0.99	0.83	8	2959	Causal Power = 0.83	North	Alpha = .99	high
9	valid	FT-North	F-S_2	Q-North	HC-R	2	1	0.01	0.83	8	19023	Causal Power = 0.83	South	Alpha = .01	high
