subjID	instrtest	FirstTower	GammaDiff	Target	ScaleOrientation	Alpha	Power	Rating	RespTime	AlphaRec	PowerRec
1	valid	FT-South	S-F_1	Q-South	HC-L	0.99	0.5	0.2	55750	Hundred	Fifty
2	valid	FT-South	F-S_1	Q-North	HC-L	0.99	0.5	0.5	73035	Hundred	Fifty
3	valid	FT-North	F-S_1	Q-South	HC-R	0.99	0.5	0.3	35582	Hundred	Fifty
4	valid	FT-North	F-S_2	Q-South	HC-L	0.99	0.83	0.2	26715	Hundred	EightyThree
5	valid	FT-North	S-F_2	Q-South	HC-L	0.01	0.83	0.8	43451	Zero	EightyThree
7	valid	FT-South	F-S_2	Q-South	HC-R	0.01	0.83	0.8	52828	Zero	EightyThree
8	valid	FT-South	F-S_2	Q-North	HC-L	0.99	0.83	0.4	37145	Hundred	EightyThree
9	valid	FT-North	F-S_2	Q-North	HC-R	0.01	0.83	0.5	92960	Zero	EightyThree
10	valid	FT-South	F-S_2	Q-South	HC-L	0.01	0.83	0.8	39264	Zero	EightyThree
11	valid	FT-North	S-F_2	Q-North	HC-L	0.99	0.83	0.2	17639	Hundred	EightyThree
15	valid	FT-North	F-S_1	Q-North	HC-L	0.01	0.5	0.4	20354	Zero	Fifty
14	valid	FT-North	S-F_2	Q-South	HC-R	0.01	0.83	0.9	34510	Zero	EightyThree
12	valid	FT-North	S-F_1	Q-North	HC-R	0.99	0.5	0.5	22266	Hundred	Fifty
16	valid	FT-North	F-S_1	Q-South	HC-L	0.99	0.5	0	29125	Hundred	Fifty
18	valid	FT-North	S-F_1	Q-North	HC-L	0.99	0.5	0.5	14197	Hundred	Fifty
19	valid	FT-South	S-F_2	Q-South	HC-L	0.99	0.83	0.2	21706	Hundred	EightyThree
20	valid	FT-North	S-F_1	Q-South	HC-R	0.01	0.5	0.8	47563	Zero	Fifty
17	valid	FT-South	F-S_2	Q-North	HC-R	0.99	0.83	0.5	34357	Hundred	EightyThree
21	valid	FT-South	S-F_2	Q-South	HC-R	0.99	0.83	0.6	88877	Hundred	EightyThree
22	valid	FT-South	F-S_1	Q-South	HC-L	0.01	0.5	0.6	38267	Zero	Fifty
25	valid	FT-South	S-F_1	Q-North	HC-R	0.01	0.5	0.5	28983	Zero	Fifty
27	valid	FT-South	S-F_1	Q-North	HC-L	0.01	0.5	0.5	46709	Zero	Fifty
26	valid	FT-North	F-S_2	Q-South	HC-R	0.99	0.83	0.1	42803	Hundred	EightyThree
28	valid	FT-North	S-F_2	Q-North	HC-R	0.99	0.83	0.1	135959	Hundred	EightyThree
31	valid	FT-North	F-S_2	Q-North	HC-L	0.01	0.83	0.5	31097	Zero	EightyThree
30	valid	FT-South	F-S_1	Q-South	HC-R	0.01	0.5	0.8	42447	Zero	Fifty
33	valid	FT-North	F-S_1	Q-North	HC-R	0.01	0.5	0.7	35623	Zero	Fifty
35	valid	FT-South	F-S_1	Q-North	HC-R	0.99	0.5	0.2	32009	Hundred	Fifty
36	valid	FT-South	S-F_1	Q-South	HC-R	0.99	0.5	0.3	10477	Hundred	Fifty
37	valid	FT-North	F-S_1	Q-North	HC-R	0.01	0.5	0.8	28586	Zero	Fifty
39	valid	FT-South	S-F_2	Q-North	HC-R	0.01	0.83	0.9	21360	Zero	EightyThree
38	valid	FT-South	S-F_2	Q-North	HC-L	0.01	0.83	0.5	36183	Zero	EightyThree
41	valid	FT-North	F-S_1	Q-South	HC-L	0.99	0.5	0.5	47898	Hundred	Fifty
40	valid	FT-North	S-F_1	Q-South	HC-L	0.01	0.5	0.2	9122	Zero	Fifty
45	valid	FT-North	F-S_1	Q-North	HC-R	0.01	0.5	0.7	28176	Zero	Fifty
46	valid	FT-South	F-S_2	Q-North	HC-R	0.99	0.83	0	60870	Hundred	EightyThree
49	valid	FT-North	F-S_1	Q-South	HC-R	0.99	0.5	1	20491	Hundred	Fifty
50	valid	FT-South	S-F_2	Q-South	HC-R	0.99	0.83	0.3	48282	Hundred	EightyThree
48	valid	FT-South	F-S_2	Q-North	HC-L	0.99	0.83	0.2	73592	Hundred	EightyThree
53	valid	FT-North	S-F_2	Q-South	HC-R	0.01	0.83	0.9	38147	Zero	EightyThree
52	valid	FT-South	S-F_1	Q-North	HC-L	0.01	0.5	1	27195	Zero	Fifty
54	valid	FT-North	S-F_2	Q-South	HC-L	0.01	0.83	0.7	53014	Zero	EightyThree
51	valid	FT-North	S-F_2	Q-North	HC-L	0.99	0.83	1	13874	Hundred	EightyThree
