subjID	cond1	cond2	cond3	cond4	sex	age	itRounds	totalTime	time_finished
1	FT-South	S-F_1	Q-South	HC-L	male	56	1	667702	2017-11-25 13:17:29
2	FT-South	F-S_1	Q-North	HC-L	female	38	1	811000	2017-11-25 13:57:43
3	FT-North	F-S_1	Q-South	HC-R	male	42	3	1869023	2017-11-25 14:20:12
4	FT-North	F-S_2	Q-South	HC-L	female	28	1	525924	2017-11-25 14:49:39
5	FT-North	S-F_2	Q-South	HC-L	female	41	1	570622	2017-11-25 14:57:13
7	FT-South	F-S_2	Q-South	HC-R	female	63	1	690703	2017-11-25 15:21:14
8	FT-South	F-S_2	Q-North	HC-L	male	37	1	691468	2017-11-25 16:04:18
9	FT-North	F-S_2	Q-North	HC-R	male	30	1	633653	2017-11-25 16:04:56
11	FT-North	S-F_2	Q-North	HC-L	female	45	1	502525	2017-11-25 16:12:42
10	FT-South	F-S_2	Q-South	HC-L	female	62	1	678279	2017-11-25 16:13:00
15	FT-North	F-S_1	Q-North	HC-L	female	52	1	528923	2017-11-25 16:21:26
14	FT-North	S-F_2	Q-South	HC-R	female	37	1	776890	2017-11-25 16:24:55
12	FT-North	S-F_1	Q-North	HC-R	female	40	2	1234476	2017-11-25 16:28:16
16	FT-North	F-S_1	Q-South	HC-L	male	33	1	685695	2017-11-25 16:29:45
18	FT-North	S-F_1	Q-North	HC-L	female	30	1	593041	2017-11-25 16:33:26
19	FT-South	S-F_2	Q-South	HC-L	female	32	1	521755	2017-11-25 16:33:51
20	FT-North	S-F_1	Q-South	HC-R	female	31	1	719453	2017-11-25 16:44:04
17	FT-South	F-S_2	Q-North	HC-R	male	25	1	1536268	2017-11-25 16:45:38
21	FT-South	S-F_2	Q-South	HC-R	female	64	1	884016	2017-11-25 16:47:57
22	FT-South	F-S_1	Q-South	HC-L	female	54	1	812625	2017-11-25 16:57:20
25	FT-South	S-F_1	Q-North	HC-R	female	30	1	658194	2017-11-25 17:06:59
27	FT-South	S-F_1	Q-North	HC-L	male	43	1	710808	2017-11-25 17:15:00
26	FT-North	F-S_2	Q-South	HC-R	female	57	1	989057	2017-11-25 17:18:50
28	FT-North	S-F_2	Q-North	HC-R	female	53	1	970375	2017-11-25 17:19:48
31	FT-North	F-S_2	Q-North	HC-L	female	39	1	584191	2017-11-25 17:22:08
30	FT-South	F-S_1	Q-South	HC-R	female	21	2	702479	2017-11-25 17:23:16
33	FT-North	F-S_1	Q-North	HC-R	female	46	3	818001	2017-11-25 17:28:04
35	FT-South	F-S_1	Q-North	HC-R	female	33	1	666860	2017-11-25 17:30:52
36	FT-South	S-F_1	Q-South	HC-R	male	27	1	509057	2017-11-25 17:37:09
37	FT-North	F-S_1	Q-North	HC-R	male	25	1	623409	2017-11-25 17:43:03
39	FT-South	S-F_2	Q-North	HC-R	female	46	1	521616	2017-11-25 17:44:11
38	FT-South	S-F_2	Q-North	HC-L	female	56	1	828074	2017-11-25 17:47:35
41	FT-North	F-S_1	Q-South	HC-L	female	30	1	755243	2017-11-25 17:56:48
40	FT-North	S-F_1	Q-South	HC-L	female	31	1	812276	2017-11-25 17:57:05
45	FT-North	F-S_1	Q-North	HC-R	female	58	1	687115	2017-11-25 18:04:34
46	FT-South	F-S_2	Q-North	HC-R	female	32	1	814031	2017-11-25 18:08:35
49	FT-North	F-S_1	Q-South	HC-R	male	67	1	542604	2017-11-25 18:14:28
50	FT-South	S-F_2	Q-South	HC-R	male	33	1	431998	2017-11-25 18:14:52
48	FT-South	F-S_2	Q-North	HC-L	female	49	1	942443	2017-11-25 18:20:40
52	FT-South	S-F_1	Q-North	HC-L	female	35	1	669397	2017-11-25 18:24:49
53	FT-North	S-F_2	Q-South	HC-R	female	39	1	690118	2017-11-25 18:25:19
54	FT-North	S-F_2	Q-South	HC-L	female	43	1	727604	2017-11-25 18:27:07
51	FT-North	S-F_2	Q-North	HC-L	female	29	2	1268275	2017-11-25 18:32:57
55	FT-South	S-F_1	Q-South	HC-L	male	50	1	573312	2017-11-25 18:35:03
56	FT-North	S-F_1	Q-North	HC-L	female	43	1	609230	2017-11-25 18:39:36
57	FT-North	F-S_2	Q-North	HC-L	male	20	1	623165	2017-11-25 18:41:00
58	FT-North	F-S_2	Q-South	HC-R	female	25	1	739344	2017-11-25 18:50:38
61	FT-South	F-S_2	Q-South	HC-R	female	52	1	501423	2017-11-25 18:55:23
62	FT-North	F-S_2	Q-South	HC-L	male	47	1	583946	2017-11-25 18:57:52
63	FT-South	F-S_1	Q-South	HC-L	female	37	1	742255	2017-11-25 19:01:22
64	FT-South	S-F_1	Q-South	HC-R	female	48	1	779371	2017-11-25 19:05:21
